loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
314008.09375,314008.09375,301601.21875,301601.21875,0.0002500000118743628
313084.59375,313084.59375,299997.6875,299997.6875,0.0002500000118743628
311355.1875,311355.1875,300266.375,300266.375,0.0002500000118743628
316228.71875,316228.71875,298481.4375,298481.4375,0.0002500000118743628
312847.15625,312847.15625,300626.78125,300626.78125,0.0002500000118743628
310556.3125,310556.3125,300258.28125,300258.28125,0.0002500000118743628
310561.5,310561.5,300708.0,300708.0,0.0002500000118743628
300116.59375,300116.59375,298601.15625,298601.15625,0.0002500000118743628
310983.0625,310983.0625,297741.15625,297741.15625,0.0002500000118743628
310174.34375,310174.34375,298993.1875,298993.1875,0.0002500000118743628
313449.59375,313449.59375,298724.8125,298724.8125,0.0002500000118743628
306811.28125,306811.28125,298502.84375,298502.84375,0.0002500000118743628
314391.8125,314391.8125,297756.65625,297756.65625,0.0002500000118743628
308319.6875,308319.6875,297114.03125,297114.03125,0.0002500000118743628
315908.8125,315908.8125,299489.71875,299489.71875,0.0002500000118743628
314138.96875,314138.96875,299097.71875,299097.71875,0.0002500000118743628
307205.0625,307205.0625,298868.0625,298868.0625,0.0002500000118743628
309614.6875,309614.6875,297914.0,297914.0,0.0002500000118743628
305792.96875,305792.96875,298438.25,298438.25,0.0002500000118743628
301318.03125,301318.03125,298025.5,298025.5,0.0001250000059371814
306655.09375,306655.09375,297646.90625,297646.90625,0.0001250000059371814
304687.9375,304687.9375,296326.4375,296326.4375,0.0001250000059371814
304277.71875,304277.71875,296596.3125,296596.3125,0.0001250000059371814
309398.59375,309398.59375,296432.4375,296432.4375,0.0001250000059371814
295139.15625,295139.15625,295975.53125,295975.53125,0.0001250000059371814
296131.21875,296131.21875,295952.75,295952.75,0.0001250000059371814
295505.25,295505.25,295780.875,295780.875,0.0001250000059371814
303511.65625,303511.65625,296106.78125,296106.78125,0.0001250000059371814
301065.03125,301065.03125,297161.9375,297161.9375,0.0001250000059371814
305705.09375,305705.09375,296650.9375,296650.9375,0.0001250000059371814
299499.71875,299499.71875,296720.28125,296720.28125,0.0001250000059371814
301519.8125,301519.8125,297002.25,297002.25,0.0001250000059371814
304320.5625,304320.5625,295917.375,295917.375,6.25000029685907e-05
303020.5625,303020.5625,296030.21875,296030.21875,6.25000029685907e-05
297016.3125,297016.3125,296158.9375,296158.9375,6.25000029685907e-05
306654.15625,306654.15625,296695.34375,296695.34375,6.25000029685907e-05
302663.0625,302663.0625,296202.125,296202.125,6.25000029685907e-05
